"","genres"
"173","baile pop,brazilian electronica,deep funk carioca,funk carioca"
"174","brazilian electronica"
"175","baile pop"
"176",""
"177","modern rock,rock,vegas indie"
"178","pop"
"179","indie pop,indietronica,la indie,modern alternative rock,modern rock,pop,rock"
"180","baile pop,pop"
"181","sertanejo,sertanejo universitario"
"182","electro house"
"183",""
"184","baile pop,sertanejo pop,sertanejo universitario"
"185","australian dance,australian pop,dance pop,pop"
"186","reggaeton"
"187","brazilian electronica,deep funk carioca"
"188","brazilian rock,rock gaucho"
"189","deep funk carioca"
"190","hip hop"
"191","deep funk carioca"
"192","baile pop,sertanejo pop,sertanejo universitario"
"193",""
"194","baile pop,brazilian electronica,deep funk carioca"
"195","pop rap,rap,trap music"
"196","deep funk carioca"
"197","axe,pagode,sertanejo universitario"
"198","pop"
"199","sertanejo universitario"
"200","brazilian electronica"
"201","baile pop"
"202","baile pop"
"203","baile pop,brazilian electronica,deep funk carioca"
"204","brazilian electronica,deep funk carioca"
"205","deep funk carioca"
"206","sertanejo universitario"
"207","brazilian electronica,sertanejo pop,sertanejo universitario"
"208","forro"
"209","deep funk carioca"
"210","baile pop,brazilian electronica,deep funk carioca"
"211","electro house"
"212","dance pop,pop,post-teen pop"
"213","baile pop,sertanejo pop,sertanejo universitario"
"214","brazilian electronica,brazilian hip hop"
"215","brazilian electronica,sertanejo,sertanejo pop,sertanejo universitario"
"216","dance pop,pop,post-teen pop"
"217","deep funk carioca"
"218","sertanejo,sertanejo universitario"
"219","sertanejo universitario"
"220","dance pop,edm,electro house,moombahton,pop,tropical house"
"221","sertanejo,sertanejo universitario"
"222","brazilian electronica,deep funk carioca"
"223","baile pop,brazilian electronica,deep funk carioca"
"224","baile pop"
"225","pop,rap"
"226","baile pop,pop"
"227","sertanejo pop,sertanejo universitario"
"228","electro house"
"229","pop"
"230",""
"231","sertanejo,sertanejo pop,sertanejo universitario"
"232","sertanejo pop,sertanejo universitario"
"233","sertanejo,sertanejo pop,sertanejo universitario"
"234","brazilian electronica,deep funk carioca"
"235","sertanejo pop,sertanejo universitario"
"236","forro"
"237","dance pop,pop,post-teen pop"
"238","deep funk carioca"
"239","baile pop,pop"
"240","sertanejo"
"241","sertanejo,sertanejo universitario"
"242","brazilian electronica,sertanejo,sertanejo pop,sertanejo universitario"
