"","genres"
"160","cumbia pop,cumbia uruguaya"
"161","edm,electropop,pop,tropical house"
"162","latin,latin arena pop,latin pop,spanish pop"
"163","argentine hip hop,trap argentino,trap latino"
"164","cumbia pop,cumbia villera"
"165","cumbia pop,cumbia villera"
"166","cumbia pop,cumbia villera"
"167","cumbia pop,cumbia uruguaya"
"168","canadian hip hop,canadian pop,hip hop,pop rap,rap"
"169","argentine hip hop,trap argentino"
"170","indie pop,modern alternative rock,modern rock,neo-psychedelic"
"171","argentine rock,cumbia villera,rock en espanol"
"172","cumbia pop,cumbia uruguaya"
"173","cubaton,reggaeton"
"174","cumbia pop,cumbia uruguaya"
"175","cumbia pop"
"176","reggaeton flow,trap latino"
"177","cumbia pop"
"178","canto popular uruguayo,cumbia pop,cumbia uruguaya"
"179","cumbia pop,cumbia villera"
"180","latin,latin hip hop,pop,reggaeton,tropical"
"181","dance pop,pop,post-teen pop,viral pop"
"182","edm,pop,tropical house"
"183","ethereal wave,medieval folk,neoclassical,world fusion"
"184","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"185","cumbia pop,cumbia villera"
"186","latin,latin hip hop,pop,reggaeton,tropical"
"187","latin pop,reggaeton"
"188","argentine reggae,argentine rock,rio de la plata,rock en espanol"
"189","dance pop,edm,pop,post-teen pop,tropical house,uk funky"
"190","pop"
"191",""
"192","cumbia pop,cumbia uruguaya"
"193","reggaeton flow"
"194","latin alternative,latin rock,rock en espanol,rock nacional"
"195","cumbia chilena,cumbia villera,tropical"
"196","dance pop,electropop,girl group,pop,post-teen pop,r&b,talent show"
"197","latin,latin hip hop,reggaeton,reggaeton flow,tropical"
"198","cumbia chilena,cumbia villera,tropical"
"199","dance pop,pop,post-teen pop,viral pop"
"200","detroit hip hop,g funk,hip hop,rap"
"201","latin,latin pop"
"202","reggaeton"
"203","latin,latin pop,reggaeton"
"204","reggaeton,trap latino"
"205","colombian pop,latin,latin pop"
"206","baile pop"
"207","reggaeton,trap latino"
"208","dance pop,latin pop,latin viral pop,pop,reggaeton"
"209","dance pop,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"210","latin,reggaeton flow,tropical"
"211","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"212","dance pop,latin,latin pop,pop,tropical"
"213","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"214","dance pop,pop,post-teen pop"
"215","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"216","latin,latin hip hop,pop,reggaeton,tropical"
"217","argentine hip hop,trap argentino"
"218","colombian pop,latin pop"
"219","bachata,latin,tropical"
"220","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"221","argentine hip hop,trap argentino,trap latino"
"222","latin,latin arena pop,latin pop,mexican pop,pop"
"223","cumbia pop"
"224","reggaeton"
"225","latin arena pop,latin pop,latin viral pop,spanish pop"
"226","colombian pop,latin,tropical"
"227","cumbia pop"
"228","latin,reggaeton"
"229","latin,reggaeton"
"230","latin,latin pop,tropical"
"231","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"232","latin,latin hip hop,reggaeton flow,trap latino,tropical"
"233","deep funk carioca"
"234","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"235","reggaeton,trap latino"
"236","argentine hip hop,trap argentino"
"237","boy band,latin,latin pop,pop,reggaeton,tropical"
"238","dance pop,pop,post-teen pop"
"239","reggaeton,trap latino"
"240","pop"
"241","boy band,latin,latin pop,pop,reggaeton,tropical"
"242","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"243","dance pop,pop,post-teen pop"
"244","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"245","dance pop,electro latino,latin,latin pop,pop,tropical"
"246","latin,latin hip hop,pop,reggaeton,tropical"
"247","latin,latin pop"
"248","deep funk carioca"
"249","reggaeton,trap latino"
"250","reggaeton,trap latino"
"251","reggaeton,trap latino"
"252","cumbia pop"
"253","argentine hip hop,trap argentino"
"254","argentine hip hop,trap argentino,trap latino"
"255","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"256","brostep,deep big room,edm,electro house,electronic trap,moombahton"
"257","colombian pop,latin,latin pop"
"258","dance pop,pop,post-teen pop"
"259","cumbia pop"
"260","dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary"
"261","pop"
"262","electra,latin pop"
"263","argentine hip hop,trap argentino"
"264","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"265","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"266","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"267","pop"
"268","baile pop"
"269","colombian pop,latin,latin pop,rock cristiano"
"270","latin,latin pop,latin viral pop,mexican pop"
"271","latin,reggaeton"
"272","pop,rap"
"273","colombian pop,latin,latin pop"
"274","cumbia pop"
"275","cumbia pop"
"276","reggaeton flow,trap latino"
"277","latin,latin hip hop,pop,reggaeton,tropical"
"278","cumbia pop"
"279","cumbia pop"
"280","reggaeton"
"281","cumbia pop"
"282","cumbia pop"
"283","latin arena pop,latin pop,latin viral pop,spanish pop"
"284","cumbia pop"
"285","latin,latin hip hop,reggaeton,reggaeton flow,tropical"
"286","cumbia pop,cumbia uruguaya"
"287","reggaeton,trap latino"
"288","latin,latin hip hop,pop,reggaeton,tropical"
"289","latin,latin arena pop,latin pop,spanish pop"
"290","cumbia pop,cumbia villera"
"291","latin,latin hip hop,reggaeton,trap latino,tropical"
"292","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"293","dance pop,latin,latin arena pop,latin pop,latin viral pop,mexican pop,pop"
"294","boy band,latin,latin pop,pop,reggaeton,tropical"
"295","emo rap"
"296","latin pop,reggaeton"
"297","colombian pop,latin pop"
"298","reggaeton,trap latino"
"299","chillstep,edm,indie poptimism,pop,tropical pop edm"
"300","latin,reggaeton"
"301","cumbia pop"
"302","argentine hip hop,cumbia pop,trap argentino"
"303","dance pop,pop,post-teen pop,viral pop"
"304","argentine hip hop,trap argentino"
"305","reggaeton,trap latino"
"306","latin,latin pop"
"307","cumbia pop"
"308","dance pop,pop,post-teen pop,viral pop"
"309","cumbia pop"
"310","argentine hip hop,trap argentino,trap latino"
"311","pop"
"312","dance pop,electropop,girl group,pop,post-teen pop,r&b,talent show"
"313","reggaeton flow,trap latino"
"314","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"315","latin pop,reggaeton"
"316","cumbia pop,cumbia uruguaya"
"317","edm,electropop,pop,tropical house"
"318","dance pop,electropop,pop,post-teen pop"
"319","reggaeton flow"
"320","cumbia pop"
"321","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"322","detroit hip hop,g funk,hip hop,rap"
"323","latin,latin hip hop,pop,reggaeton,tropical"
"324","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"325","dance pop,latin,latin pop,pop,tropical"
"326","colombian pop,latin pop"
"327","latin pop,reggaeton"
"328","pop,post-teen pop"
"329","boy band,latin,latin pop,pop,reggaeton,tropical"
"330","latin alternative,latin rock,rock en espanol,rock nacional"
"331","folklore argentino,latin pop"
"332","dance pop,latin,latin pop,mexican pop,pop,pop quebecois,tropical"
"333","cumbia pop"
"334","cumbia pop,cumbia villera"
"335","cumbia pop"
"336","cumbia pop,cumbia uruguaya"
"337","latin,latin hip hop,reggaeton,reggaeton flow,tropical"
"338","latin,latin hip hop,reggaeton,trap latino,tropical"
"339","cumbia pop"
"340","latin,reggaeton flow,trap latino,tropical"
"341","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"342","cumbia pop,cumbia villera"
"343","colombian pop,latin pop"
"344",""
"345","dance pop,pop,post-teen pop"
"346","dance pop,pop,post-teen pop"
"347","edm,pop,tropical house"
"348","cumbia pop,cumbia uruguaya"
"349",""
"350","pop"
"351","cumbia pop,cumbia uruguaya"
"352","dance pop,latin,latin pop,pop,tropical"
"353","cumbia pop,cumbia villera"
"354","canadian pop,dance pop,pop,post-teen pop,viral pop"
"355","dance pop,latin,latin pop,mexican pop,tropical"
"356","ethereal wave,medieval folk,neoclassical,world fusion"
"357","cumbia pop,cumbia uruguaya"
"358","argentine reggae,argentine rock,rio de la plata,rock en espanol"
"359","dance pop,edm,pop,post-teen pop,tropical house,uk funky"
"360","latin,reggaeton"
"361","bachata,latin,tropical"
"362","reggaeton,trap latino"
"363","hip hop,indie pop rap,pop,pop rap,rap"
"364","cumbia pop,latin alternative,latin rock,rock en espanol,rock nacional"
"365","reggaeton,trap latino"
"366","cumbia pop,cumbia uruguaya"
"367","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"368","argentine rock,cumbia pop,rock nacional"
"369","cumbia pop,cumbia villera"
"370","dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary"
"371","argentine hip hop,trap argentino,trap latino"
"372","latin,latin hip hop,pop,reggaeton,tropical"
"373","reggaeton"
"374","cumbia pop,cumbia uruguaya"
"375","cumbia pop,cumbia uruguaya"
"376","pop"
"377","canadian pop,dance pop,pop,post-teen pop"
"378","brostep,egyptian pop,pop,progressive electro house"
"379","latin alternative,latin rock,rock en espanol,rock nacional"
"380","argentine rock,cumbia pop,cumbia villera,latin alternative,rock en espanol,rock nacional"
"381","dance pop,electro latino,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"382","dance pop,edm,pop,pop rap"
"383","big room,edm,pop"
"384","dance pop,pinoy hip hop,pop,pop rap,post-teen pop,r&b"
"385","modern rock,rock,vegas indie"
"386","argentine rock,cumbia pop,rock nacional"
"387","latin alternative,latin rock,rock en espanol,rock nacional"
"388","cumbia pop,cumbia villera"
"389","argentine hip hop,trap argentino"
"390","cumbia pop,cumbia villera"
"391","deep funk carioca"
"392","argentine rock,latin alternative,latin rock,rock en espanol"
"393","cumbia pop,cumbia villera"
"394","argentine rock,cumbia pop,cumbia villera,latin alternative,latin rock,rock en espanol,rock nacional,ska argentino"
"395","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"396","cumbia pop,cumbia villera"
"397","champeta,colombian pop,electro latino,latin,latin pop,pop,tropical"
"398","dance pop,edm,pop,post-teen pop,tropical house,uk funky"
"399",""
"400","cumbia pop"
"401","latin,latin pop"
"402","reggaeton"
"403","latin,latin pop,reggaeton"
"404","reggaeton,trap latino"
"405","colombian pop,latin,latin pop"
"406","baile pop"
"407","reggaeton,trap latino"
"408","dance pop,latin pop,latin viral pop,pop,reggaeton"
"409","dance pop,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"410","latin,reggaeton flow,tropical"
"411","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"412","dance pop,latin,latin pop,pop,tropical"
"413","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"414","dance pop,pop,post-teen pop"
"415","argentine hip hop,trap argentino"
"416","latin,latin hip hop,pop,reggaeton,tropical"
"417","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"418","colombian pop,latin pop"
"419","bachata,latin,tropical"
"420","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"421","argentine hip hop,trap argentino,trap latino"
"422","latin,latin arena pop,latin pop,mexican pop,pop"
"423","cumbia pop"
"424","reggaeton"
"425","colombian pop,latin,tropical"
"426","latin,reggaeton"
"427","latin,reggaeton"
"428","latin arena pop,latin pop,latin viral pop,spanish pop"
"429","cumbia pop"
"430","latin,latin pop,tropical"
"431","deep funk carioca"
"432","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"433","latin,latin hip hop,reggaeton flow,trap latino,tropical"
"434","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"435","argentine hip hop,trap argentino"
"436","boy band,latin,latin pop,pop,reggaeton,tropical"
"437","reggaeton,trap latino"
"438","boy band,latin,latin pop,pop,reggaeton,tropical"
"439","reggaeton,trap latino"
"440","dance pop,pop,post-teen pop"
"441","pop"
"442","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"443","dance pop,pop,post-teen pop"
"444","dance pop,electro latino,latin,latin pop,pop,tropical"
"445","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"446","latin,latin hip hop,pop,reggaeton,tropical"
"447","deep funk carioca"
"448","latin,latin pop"
"449","reggaeton,trap latino"
"450","reggaeton,trap latino"
"451","argentine hip hop,trap argentino"
"452","reggaeton,trap latino"
"453","cumbia pop"
"454","argentine hip hop,trap argentino,trap latino"
"455","argentine hip hop,trap argentino"
"456","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"457","cumbia pop"
"458","brostep,deep big room,edm,electro house,electronic trap,moombahton"
"459","colombian pop,latin,latin pop"
"460","dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary"
"461","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"462","dance pop,pop,post-teen pop"
"463","baile pop"
"464","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"465","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"466","colombian pop,latin,latin pop,rock cristiano"
"467","pop"
"468","electra,latin pop"
"469","pop"
"470","latin,reggaeton"
"471","cumbia pop"
"472","reggaeton flow,trap latino"
"473","colombian pop,latin,latin pop"
"474","latin,latin pop,latin viral pop,mexican pop"
"475","cumbia pop"
"476","cumbia pop"
"477","latin,latin hip hop,pop,reggaeton,tropical"
"478","cumbia pop"
"479","reggaeton"
"480","latin arena pop,latin pop,latin viral pop,spanish pop"
"481","pop,rap"
"482","latin,latin hip hop,reggaeton,reggaeton flow,tropical"
"483","reggaeton,trap latino"
"484","cumbia pop"
"485","cumbia pop"
"486","cumbia pop"
"487","cumbia pop,cumbia uruguaya"
"488","latin,latin arena pop,latin pop,spanish pop"
"489","dance pop,latin,latin arena pop,latin pop,latin viral pop,mexican pop,pop"
"490","latin,latin hip hop,reggaeton,trap latino,tropical"
"491","cumbia pop,cumbia villera"
"492","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"493","argentine hip hop,cumbia pop,trap argentino"
"494","latin,latin hip hop,pop,reggaeton,tropical"
"495","boy band,latin,latin pop,pop,reggaeton,tropical"
"496","cumbia pop"
"497","colombian pop,latin pop"
"498","chillstep,edm,indie poptimism,pop,tropical pop edm"
"499","argentine hip hop,trap argentino"
"500","reggaeton,trap latino"
"501","argentine hip hop,trap argentino,trap latino"
"502","latin,reggaeton"
"503","dance pop,pop,post-teen pop,viral pop"
"504","cumbia pop"
"505","latin pop,reggaeton"
"506","dance pop,electropop,girl group,pop,post-teen pop,r&b,talent show"
"507","reggaeton,trap latino"
"508","dance pop,pop,post-teen pop,viral pop"
"509","pop"
"510","emo rap"
"511","reggaeton flow,trap latino"
"512","folklore argentino,latin pop"
"513","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"514","edm,electropop,pop,tropical house"
"515","cumbia pop"
"516","cumbia pop"
"517","latin pop,reggaeton"
"518","latin,latin pop"
"519","dance pop,latin,latin pop,pop,tropical"
"520","cumbia pop,cumbia uruguaya"
"521","latin pop,reggaeton"
"522","cumbia pop"
"523","reggaeton flow"
"524","latin,latin hip hop,pop,reggaeton,tropical"
"525","latin,reggaeton flow,trap latino,tropical"
"526","detroit hip hop,g funk,hip hop,rap"
"527","colombian pop,latin pop"
"528","latin alternative,latin rock,rock en espanol,rock nacional"
"529","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"530","boy band,latin,latin pop,pop,reggaeton,tropical"
"531","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"532","pop,post-teen pop"
"533","cumbia pop,cumbia villera"
"534","cumbia pop,cumbia villera"
"535","dance pop,electropop,pop,post-teen pop"
"536","colombian pop,latin pop"
"537","cumbia pop,cumbia uruguaya"
"538","dance pop,latin,latin pop,mexican pop,pop,pop quebecois,tropical"
"539","cumbia pop"
"540","cumbia pop"
"541","latin,latin hip hop,reggaeton,trap latino,tropical"
"542","cumbia pop,cumbia villera"
"543","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"544","argentine reggae,argentine rock,rio de la plata,rock en espanol"
"545","latin,latin hip hop,reggaeton,reggaeton flow,tropical"
"546","cumbia pop,cumbia uruguaya"
"547","dance pop,pop,post-teen pop"
"548",""
"549","reggaeton,trap latino"
"550",""
"551","cumbia pop,cumbia villera"
"552","dance pop,latin,latin pop,pop,tropical"
"553","dance pop,latin,latin pop,mexican pop,tropical"
"554","dance pop,electro latino,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"555","reggaeton,trap latino"
"556","cumbia pop,cumbia uruguaya"
"557","cumbia pop,cumbia uruguaya"
"558","bachata,latin,tropical"
"559","argentine rock,cumbia pop,cumbia villera,latin alternative,rock en espanol,rock nacional"
"560","dance pop,edm,pop,post-teen pop,tropical house,uk funky"
"561","argentine rock,cumbia pop,rock nacional"
"562","ethereal wave,medieval folk,neoclassical,world fusion"
"563","reggaeton"
"564","canadian pop,dance pop,pop,post-teen pop"
"565","cumbia pop,cumbia uruguaya"
"566","dance pop,edm,pop,pop rap"
"567","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"568","edm,pop,tropical house"
"569","cumbia pop,latin alternative,latin rock,rock en espanol,rock nacional"
"570","argentine hip hop,trap argentino,trap latino"
"571","canadian pop,dance pop,pop,post-teen pop,viral pop"
"572","latin alternative,latin rock,rock en espanol,rock nacional"
"573","latin,reggaeton"
"574","argentine hip hop,trap argentino"
"575","cumbia pop,cumbia uruguaya"
"576","argentine rock,cumbia pop,rock nacional"
"577","modern rock,rock,vegas indie"
"578","cumbia pop,cumbia uruguaya"
"579","latin,latin hip hop,pop,reggaeton,tropical"
