"","genres"
"151","latin,latin hip hop,pop,reggaeton,tropical"
"152","latin pop,reggaeton"
"153","latin,latin hip hop,pop,reggaeton,tropical"
"154","cumbia chilena"
"155","cumbia,cumbia sonidera,grupera,latin pop"
"156","cumbia chilena,cumbia villera,tropical"
"157","latin,latin afrobeat,latin alternative,latin hip hop,puerto rican rock,reggaeton,rock en espanol,tropical"
"158","cumbia chilena,cumbia uruguaya"
"159","reggaeton"
"160","reggaeton"
"161","boy band,latin,latin pop,pop,reggaeton,tropical"
"162","cumbia chilena"
"163","latin,reggaeton"
"164","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"165","dance pop,latin,latin pop,mexican pop,pop,pop quebecois,tropical"
"166","cumbia chilena"
"167","dance pop,latin,latin pop,mexican pop,pop,pop quebecois,tropical"
"168","reggaeton,trap latino"
"169",""
"170","chilean indie,chilean rock,cumbia chilena,latin rock,nueva cancion"
"171","canadian pop,pop,rap"
"172","indie pop,indietronica,la indie,modern alternative rock,modern rock,pop,rock"
"173","canadian contemporary country,contemporary country"
"174","dance pop,latin,latin pop,pop,tropical"
"175","latin,reggaeton"
"176","pop rap"
"177","pop,post-teen pop"
"178","latin,latin hip hop,pop,reggaeton,tropical"
"179","chicha,cumbia chilena,cumbia villera"
"180","chillstep,edm,indie poptimism,pop,tropical pop edm"
"181","dance pop,latin,latin pop,mexican pop,tropical"
"182","cumbia chilena"
"183","andean,chilean rock,cumbia chilena,nueva cancion"
"184","cumbia chilena,cumbia villera"
"185","chilean rock,cumbia chilena"
"186","chilean rock,cumbia chilena"
"187","cumbia chilena"
"188","latin,reggaeton flow,trap latino,tropical"
"189",""
"190","big room,dance pop,deep big room,edm,electro house,melbourne bounce,pop,progressive electro house,tropical house"
"191",""
"192","latin,latin hip hop,reggaeton,trap latino,tropical"
"193","classic soul,funk,motown,northern soul,quiet storm,soul"
"194","latin,reggaeton flow,trap latino,tropical"
"195","argentine rock,latin alternative,latin rock,rock en espanol,rock nacional,ska argentino"
"196","chicha,cumbia chilena,cumbia sonidera,cumbia villera"
"197","argentine rock,latin alternative,latin rock,rock en espanol,rock nacional,ska argentino"
"198","dancehall"
"199","latin pop,reggaeton"
"200","latin,latin hip hop,pop,reggaeton,tropical"
"201","latin,latin pop"
"202","reggaeton"
"203","reggaeton,trap latino"
"204","colombian pop,latin,latin pop"
"205","latin,latin pop,reggaeton"
"206","reggaeton,trap latino"
"207","dance pop,latin pop,latin viral pop,pop,reggaeton"
"208","dance pop,latin,latin pop,pop,tropical"
"209","deep funk carioca"
"210","latin,reggaeton flow,tropical"
"211","colombian pop,latin,tropical"
"212","dance pop,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"213","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"214","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"215","bachata,latin,tropical"
"216","baile pop"
"217","latin,latin arena pop,latin pop,mexican pop,pop"
"218","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"219","latin,latin hip hop,pop,reggaeton,tropical"
"220","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"221","reggaeton,trap latino"
"222","latin,reggaeton"
"223","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"224","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"225","reggaeton,trap latino"
"226","colombian pop,latin pop"
"227","dance pop,pop,post-teen pop"
"228","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"229","latin,reggaeton"
"230","reggaeton"
"231","dance pop,pop,post-teen pop"
"232","latin,latin hip hop,reggaeton flow,trap latino,tropical"
"233","pop"
"234","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"235","deep funk carioca"
"236","latin arena pop,latin pop,latin viral pop,spanish pop"
"237","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"238","reggaeton,trap latino"
"239","boy band,latin,latin pop,pop,reggaeton,tropical"
"240","colombian pop,latin,latin pop"
"241","reggaeton flow,trap latino"
"242","rap dominicano,reggaeton flow"
"243","reggaeton,trap latino"
"244","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"245","dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary"
"246","reggaeton flow"
"247","reggaeton,trap latino"
"248","dance pop,electro latino,latin,latin pop,pop,tropical"
"249","latin,latin hip hop,pop,reggaeton,tropical"
"250","dance pop,pop,post-teen pop"
"251","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"252","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"253","boy band,latin,latin pop,pop,reggaeton,tropical"
"254","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"255","latin,latin pop"
"256","latin,reggaeton"
"257","pop"
"258","pop"
