"","genres"
"152","colombian pop,latin pop"
"153",""
"154","cumbia pop"
"155","dance pop,latin,latin pop,pop,tropical"
"156","emo rap"
"157","argentine rock,cumbia pop,cumbia santafesina,cumbia villera"
"158","australian dance,australian pop,dance pop,pop"
"159","cumbia pop"
"160","argentine hip hop,trap argentino,trap latino"
"161","latin,latin hip hop,reggaeton,trap latino,tropical"
"162","latin,latin pop,salsa,tropical"
"163","argentine rock,cumbia pop,cumbia santafesina,cumbia villera"
"164","edm,electropop,pop,tropical house"
"165","edm,electropop,pop,tropical house"
"166","argentine rock,cumbia pop,cumbia santafesina,cumbia villera"
"167","reggaeton,trap latino"
"168","cumbia pop"
"169","latin,reggaeton flow,trap latino,tropical"
"170","latin arena pop,latin pop,latin viral pop,spanish pop"
"171","dance pop,latin,latin pop,mexican pop,pop,pop quebecois,tropical"
"172","pop,post-teen pop"
"173",""
"174","cumbia paraguaya,cumbia pop,cumbia villera"
"175","reggaeton,trap latino"
"176",""
"177","canadian pop,pop,rap"
"178","cuarteto,cumbia pop,cumbia villera"
"179","baile pop"
"180","chicha,cumbia chilena,cumbia villera"
"181","canadian hip hop,canadian pop,hip hop,pop rap,rap"
"182","cumbia pop,cumbia villera"
"183","dance pop,latin,latin arena pop,latin pop,latin viral pop,mexican pop,pop"
"184","cumbia pop"
"185","cuarteto"
"186","cumbia,cumbia sonidera,grupera,latin pop"
"187","dance pop,pop,post-teen pop,viral pop"
"188","dancehall"
"189","argentine rock,cumbia pop,cumbia santafesina,cumbia villera"
"190","argentine rock,cumbia pop,cumbia santafesina,cumbia villera"
"191","folklore argentino,latin pop"
"192","argentine rock,latin alternative,latin rock,rock en espanol,rock nacional,ska argentino"
"193","reggaeton"
"194","cumbia villera"
"195","cumbia pop,cumbia villera"
"196","argentine rock,cumbia pop,cumbia villera"
"197","argentine rock,latin alternative,latin rock,rock en espanol,rock nacional,ska argentino"
"198","latin pop,reggaeton"
"199","cumbia pop"
"200","cumbia pop,cumbia villera"
"201","reggaeton"
"202","latin,latin pop"
"203","latin,latin pop,reggaeton"
"204","reggaeton,trap latino"
"205","colombian pop,latin,latin pop"
"206","reggaeton,trap latino"
"207","argentine hip hop,trap argentino,trap latino"
"208","argentine hip hop,trap argentino"
"209","baile pop"
"210","dance pop,latin pop,latin viral pop,pop,reggaeton"
"211","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"212","latin,reggaeton flow,tropical"
"213","dance pop,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"214","dance pop,latin,latin pop,pop,tropical"
"215","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"216","latin,latin hip hop,pop,reggaeton,tropical"
"217","dance pop,pop,post-teen pop"
"218","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"219","bachata,latin,tropical"
"220","colombian pop,latin pop"
"221","argentine hip hop,trap argentino"
"222","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"223","colombian pop,latin,tropical"
"224","reggaeton"
"225","latin,reggaeton"
"226","latin,latin arena pop,latin pop,mexican pop,pop"
"227","latin,reggaeton"
"228","reggaeton,trap latino"
"229","argentine hip hop,trap argentino,trap latino"
"230","latin arena pop,latin pop,latin viral pop,spanish pop"
"231","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"232","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"233","argentine hip hop,trap argentino"
"234","reggaeton,trap latino"
"235","deep funk carioca"
"236","dance pop,pop,post-teen pop"
"237","pop"
"238","latin,latin hip hop,reggaeton flow,trap latino,tropical"
"239","dance pop,pop,post-teen pop"
"240","argentine hip hop,trap argentino"
"241","deep funk carioca"
"242","reggaeton,trap latino"
"243","boy band,latin,latin pop,pop,reggaeton,tropical"
"244","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"245","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"246","reggaeton,trap latino"
"247","latin,latin pop,tropical"
"248","boy band,latin,latin pop,pop,reggaeton,tropical"
"249","electra,latin pop"
"250","latin,latin hip hop,pop,reggaeton,tropical"
"251","reggaeton,trap latino"
"252","latin,latin pop"
"253","argentine hip hop,cumbia pop,trap argentino"
"254","pop"
"255","reggaeton"
"256","dance pop,electro latino,latin,latin pop,pop,tropical"
"257","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"258","argentine hip hop,trap argentino,trap latino"
"259","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"260","dance pop,pop,post-teen pop"
"261","colombian pop,latin,latin pop"
"262","pop"
"263","argentine hip hop,trap argentino"
"264","colombian pop,latin,latin pop"
"265","latin,reggaeton"
"266","pop,rap"
"267","latin,latin hip hop,pop,reggaeton,tropical"
"268","reggaeton flow,trap latino"
"269","latin,latin pop,latin viral pop,mexican pop"
"270","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"271","cumbia pop"
"272","dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary"
"273","argentine hip hop,trap argentino,trap latino"
"274","cumbia pop"
"275","reggaeton flow,trap latino"
"276","brostep,deep big room,edm,electro house,electronic trap,moombahton"
"277","latin,latin hip hop,reggaeton,trap latino,tropical"
"278","emo rap"
"279","cumbia pop"
"280","latin,latin hip hop,pop,reggaeton,tropical"
"281","colombian pop,latin pop"
"282","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"283","boy band,latin,latin pop,pop,reggaeton,tropical"
"284","latin pop,reggaeton"
"285","cuarteto,cumbia pop,cumbia villera"
"286","argentine rock,folklore argentino,rock en espanol"
"287","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"288","latin,latin hip hop,reggaeton,reggaeton flow,tropical"
"289","latin,reggaeton flow,trap latino,tropical"
"290","reggaeton,trap latino"
"291","pop"
"292","colombian pop,latin pop"
"293","argentine hip hop,trap argentino"
"294","reggaeton,trap latino"
"295","edm,electropop,pop,tropical house"
"296","latin,latin hip hop,reggaeton,trap latino,tropical"
"297","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"298","dance pop,pop,post-teen pop,viral pop"
"299","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"300","latin,reggaeton"
"301","dance pop,electropop,pop,post-teen pop"
"302","cumbia pop"
"303","colombian pop,latin,latin pop,rock cristiano"
"304","dance pop,latin,latin pop,mexican pop,tropical"
"305","latin,latin pop"
"306","argentine rock,cumbia pop,cumbia villera,latin alternative,rock en espanol,rock nacional"
"307","cumbia pop"
"308","pop,post-teen pop"
"309","argentine rock,cumbia pop,cumbia villera,latin alternative,latin rock,rock en espanol,rock nacional,ska argentino"
"310","latin,latin arena pop,latin pop,spanish pop"
"311","dance pop,electro latino,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"312","latin arena pop,latin pop,latin viral pop,spanish pop"
"313","dance pop,pop,post-teen pop,viral pop"
"314","argentine hip hop,trap argentino"
"315","cumbia pop"
"316","reggaeton,trap latino"
"317","dance pop,latin,latin arena pop,latin pop,latin viral pop,mexican pop,pop"
"318","cumbia pop"
"319","pop"
"320","argentine rock,latin alternative,latin rock,rock en espanol,rock nacional"
"321","latin pop,reggaeton"
"322","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"323","argentine rock,latin alternative,latin rock,rock en espanol,rock nacional,ska argentino"
"324","reggaeton,trap latino"
"325","argentine hip hop,trap argentino"
"326","cumbia pop"
"327","detroit hip hop,g funk,hip hop,rap"
"328","cumbia pop,cumbia villera"
"329","reggaeton"
"330","latin,latin hip hop,pop,reggaeton,tropical"
"331","pop,post-teen pop"
"332","colombian pop,latin pop"
"333","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"334","cubaton,reggaeton"
"335","modern rock,rock,vegas indie"
"336","dance pop,latin,latin pop,mexican pop,pop,pop quebecois,tropical"
"337","folklore argentino,latin pop"
"338","modern rock,rock,vegas indie"
"339","reggaeton"
"340","pop"
"341","argentine rock,cumbia pop,rock nacional"
"342","reggaeton,trap latino"
"343","chillstep,edm,indie poptimism,pop,tropical pop edm"
"344","argentine rock,cumbia pop,latin alternative,latin rock,rock en espanol,rock nacional"
"345","reggaeton flow,trap latino"
"346","pop,post-teen pop"
"347","bachata,latin,tropical"
"348","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"349","deep funk carioca"
"350","permanent wave,pop"
"351","baile pop"
"352","dance pop,electropop,girl group,pop,post-teen pop,r&b,talent show"
